Num,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P22,P23,P24,P25,P26,P27,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
681b46bd825adf3cfd09d513,22.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,7.0,5.0,6.0,6.0,1.0,1.0,5.0,7.0,5.0,2.0,8.0,5.0,5.0,8.0,7.0,10.0,8.0,7.0,2.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,5.0,9.0,4.0,6.0,6.0,8.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,0.0,7.0,10.0,10.0,6.0,5.0
681b3a8e3a2c5c4cebccd1ab,23.0,1.0,3.0,7.0,1.0,3.0,8.0,8.0,1.0,2.0,9.0,8.0,10.0,8.0,8.0,10.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,2.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,9.0,7.0,6.0,3.0,7.0,9.0
680a14972b8d3e4048c0f30d,28.0,2.0,1.0,7.0,4.0,1.0,6.0,2.0,1.0,1.0,3.0,3.0,5.0,7.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,4.0,4.0,10.0,8.0,6.0,1.0,9.0,10.0,8.0,1.0,10.0,0.0,0.0,0.0,4.0,4.0,10.0,9.0,0.0,0.0,6.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,8.0,3.0,6.0,10.0
681b3c624ec18b143973a8fe,26.0,1.0,1.0,5.0,4.0,1.0,6.0,8.0,4.0,1.0,2.0,3.0,4.0,8.0,6.0,6.0,2.0,2.0,7.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,10.0,10.0,0.0,8.0,10.0,8.0,2.0,6.0,6.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,6.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
681a0a1f4ec18b143970b339,25.0,1.0,4.0,3.0,2.0,1.0,,,1.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,7.0,6.0,5.0,4.0,8.0,10.0,10.0,9.0,5.0,6.0,0.0,10.0,0.0,10.0,2.0,6.0,10.0,5.0,10.0,6.0,6.0,10.0,5.0,3.0,5.0,9.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,7.0,7.0,7.0,6.0,10.0
681b534f30e2084bbe9372c9,29.0,1.0,3.0,6.0,4.0,3.0,7.0,7.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,8.0,10.0,10.0,5.0,8.0,10.0,0.0,1.0,5.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,5.0,0.0,10.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,10.0,7.0,10.0
681b995a4cc07607d7c5d896,17.0,2.0,2.0,3.0,2.0,1.0,9.0,10.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,8.0,2.0,6.0,3.0,9.0,3.0,6.0,5.0,10.0,7.0,5.0,6.0,9.0,4.0,1.0,6.0,5.0,7.0,0.0,4.0,8.0,6.0,7.0,7.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,7.0,6.0,4.0
6821ac09575dc75aa1b90a7d,18.0,2.0,2.0,4.0,6.0,1.0,5.0,5.0,1.0,2.0,3.0,4.0,6.0,6.0,7.0,5.0,2.0,2.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,4.0,3.0,0.0,,,4.0,,4.0,10.0,7.0,8.0,9.0,7.0,10.0,10.0,9.0,9.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,10.0,8.0,10.0,0.0,8.0
6821a64228ba9f2e9c38d289,18.0,2.0,3.0,5.0,2.0,1.0,8.0,6.0,1.0,1.0,3.0,4.0,4.0,8.0,9.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,10.0,3.0,0.0,0.0,1.0,7.0,7.0,2.0,0.0,6.0,10.0,5.0,8.0,10.0,10.0,7.0,7.0,9.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,10.0,6.0,10.0,0.0,2.0
680d4e6e0cf8ca72a3699421,29.0,1.0,3.0,6.0,2.0,1.0,7.0,8.0,1.0,2.0,8.0,8.0,9.0,8.0,7.0,7.0,1.0,1.0,8.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,1.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,2.0,1.0,3.0,1.0,1.0,1.0,8.0,6.0,7.0,6.0,8.0,7.0,7.0
681b4e6530e2084bbe9370cf,17.0,4.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,4.0,0.0,1.0,0.0,1.0,8.0,3.0,8.0,10.0,3.0,10.0,2.0,8.0,1.0,9.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,8.0,6.0
681892cb663fbd555327c981,25.0,1.0,3.0,8.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,6.0,7.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,1.0,7.0,6.0,0.0,0.0,0.0,6.0,8.0,,0.0,1.0,7.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0
6815f89f663fbd555327aa38,25.0,2.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,10.0,6.0,6.0,4.0,5.0,5.0,2.0,1.0,6.0,10.0,3.0,6.0,7.0,7.0,7.0,,4.0,3.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,6.0,6.0,5.0,7.0
6819dec0663fbd555327dfc5,26.0,2.0,7.0,1.0,4.0,1.0,7.0,10.0,1.0,1.0,1.0,5.0,5.0,8.0,8.0,8.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,7.0,9.0,10.0,2.0,0.0,10.0,0.0,0.0,8.0,2.0,0.0,,10.0,10.0,10.0,10.0,0.0,,8.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,10.0,8.0,10.0,5.0,7.0
68109a70dffbf6259adb64f7,26.0,1.0,3.0,8.0,2.0,1.0,8.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,8.0,4.0,5.0,,7.0,10.0,4.0,1.0,10.0,10.0,8.0,,10.0,10.0,10.0,5.0,10.0,9.0,0.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,10.0,4.0,10.0,3.0,3.0
681b6c8730e2084bbe937fe4,28.0,2.0,1.0,8.0,2.0,1.0,5.0,7.0,1.0,1.0,3.0,5.0,1.0,8.0,7.0,7.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0,1.0,10.0,7.0,5.0,,6.0,5.0,10.0,6.0,6.0,8.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,3.0,7.0,2.0,7.0
6821c64d28ba9f2e9c38e025,18.0,1.0,2.0,3.0,2.0,1.0,5.0,7.0,2.0,3.0,5.0,0.0,8.0,7.0,4.0,8.0,3.0,3.0,6.0,5.0,7.0,8.0,1.0,4.0,5.0,8.0,8.0,8.0,8.0,9.0,6.0,3.0,2.0,5.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,8.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,4.0,9.0,6.0
681b3ead3a2c5c4cebccd574,24.0,1.0,1.0,8.0,4.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,5.0,9.0,8.0,9.0,2.0,2.0,4.0,2.0,0.0,7.0,0.0,5.0,5.0,10.0,8.0,10.0,0.0,9.0,9.0,9.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,10.0,10.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,10.0
681b42614ec18b143973acf8,28.0,1.0,1.0,8.0,4.0,1.0,10.0,8.0,1.0,1.0,7.0,9.0,7.0,10.0,9.0,10.0,1.0,2.0,9.0,8.0,9.0,9.0,6.0,10.0,8.0,6.0,10.0,10.0,9.0,9.0,5.0,3.0,2.0,10.0,9.0,10.0,6.0,8.0,10.0,8.0,9.0,6.0,2.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,7.0,9.0,10.0,10.0,8.0
680b94412b8d3e4048c11a29,17.0,2.0,2.0,3.0,2.0,1.0,7.0,7.0,1.0,1.0,3.0,3.0,7.0,8.0,9.0,8.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,9.0,5.0,6.0,5.0,7.0,5.0,9.0,7.0,2.0,4.0,8.0,10.0,10.0,8.0,10.0,10.0,,0.0,10.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,10.0,1.0,10.0,2.0,8.0
681b43f200e3f943e43af250,26.0,1.0,1.0,4.0,4.0,1.0,10.0,9.0,1.0,1.0,10.0,10.0,9.0,10.0,9.0,10.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
6821a871575dc75aa1b90903,18.0,1.0,2.0,6.0,2.0,1.0,,8.0,4.0,3.0,5.0,0.0,,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,10.0,10.0,1.0,6.0,,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,2.0,10.0,10.0
